nuvirdi;teg_eign;matssvaedi;ibm2
  8818;Íbúðareign;150; 395
 25736;Íbúðareign;280; 902
 21472;Íbúðareign; 90; 808
 16026;Íbúðareign; 11; 553
 58085;Íbúðareign; 90;1783
 13479;Íbúðareign;161; 722
 17915;Íbúðareign;120; 922
 29186;Íbúðareign;283;1325
 20973;Íbúðareign;130; 894
 45946;Íbúðareign; 80; 155
 42464;Einbýlishús;120; 154
 21163;Íbúðareign;120; 884
 17669;Íbúðareign;200;  92
 16475;Íbúðareign; 90; 598
 17965;Íbúðareign;100; 876
 32231;Íbúðareign; 75;1016
 23888;Íbúðareign; 91;1025
 24698;Íbúðareign; 72;1002
 19190;Íbúðareign; 70; 607
 31156;Íbúðareign; 90;  86
 23956;Íbúðareign; 11; 775
 44539;Íbúðareign; 31;1436
 21840;Íbúðareign;120;1087
 18794;Íbúðareign; 25; 532
 66173;Einbýlishús;180;1849
 44682;Íbúðareign; 75;1243
 14596;Íbúðareign;170; 641
 19133;Íbúðareign;120; 795
 32640;Íbúðareign;210;1216
 15548;Íbúðareign;150; 644
 21496;Íbúðareign;100;1008
 13190;Íbúðareign; 20; 512
 21848;Íbúðareign; 80; 769
114789;Einbýlishús; 72;2698
 28160;Íbúðareign;100;1166
 14807;Íbúðareign;160; 714
 23120;Íbúðareign;160;1213
 21173;Íbúðareign; 20;  64
 20586;Íbúðareign; 91; 681
 34789;Íbúðareign; 70;1147
 14213;Íbúðareign; 25; 433
 23472;Íbúðareign;110; 891
 16985;Íbúðareign;270;  82
 28175;Íbúðareign;140;1171
 28460;Íbúðareign;180;1179
 19698;Íbúðareign;160;1016
 28486;Íbúðareign; 72; 992
 47320;Íbúðareign; 90; 150
 24176;Íbúðareign;281;1007
 26394;Íbúðareign;130; 883
 28726;Íbúðareign;150;1098
 22482;Íbúðareign; 80; 733
 13911;Íbúðareign;280; 464
 27932;Íbúðareign;200;1129
 24573;Íbúðareign; 91;1004
 31663;Íbúðareign;280; 814
 14492;Íbúðareign;170; 583
 41313;Íbúðareign; 31; 964
 65808;Einbýlishús;283;2837
 15795;Íbúðareign;100; 754
 22744;Íbúðareign;130; 756
 10998;Íbúðareign; 20; 569
 23193;Íbúðareign;280; 816
 27822;Íbúðareign; 80;1243
 10486;Íbúðareign; 72; 486
 25124;Íbúðareign; 70; 817
 18472;Íbúðareign; 80; 727
 17487;Íbúðareign; 25; 557
 17169;Íbúðareign; 91;  68
 29993;Íbúðareign; 85; 100
 17566;Íbúðareign;284; 626
 22441;Íbúðareign;270; 829
 37279;Einbýlishús; 75;1147
 35877;Einbýlishús;100;1906
 21272;Íbúðareign;120; 966
 21273;Íbúðareign;180; 819
 17405;Íbúðareign; 70; 568
 16855;Íbúðareign; 72; 663
 17690;Íbúðareign;130; 612
 14986;Íbúðareign; 72; 462
 17000;Íbúðareign;100; 886
 16051;Íbúðareign; 25; 512
 20257;Íbúðareign;100; 862
 17786;Íbúðareign;100; 663
 25336;Íbúðareign; 70; 869
 17491;Íbúðareign;100; 603
 21825;Íbúðareign; 80;1017
 19381;Íbúðareign;130; 876
 22857;Íbúðareign;100; 938
 17890;Íbúðareign;170; 661
 12500;Íbúðareign; 90; 496
 20000;Íbúðareign;100;  83
 36415;Íbúðareign; 80;1399
 24369;Íbúðareign; 90;  89
 31170;Íbúðareign; 90; 975
 34564;Íbúðareign;281; 853
